	USA	USA	USA	USA	USA		California	California	California	California	California		Wisconsin	Wisconsin	Wisconsin	Wisconsin	Wisconsin	
date	positives	hospitalized	icu	ventilator	deaths		positives	hospitalized	icu	ventilator	deaths		positives	hospitalized	icu	ventilator	deaths	
2020-01-22	2																	
2020-01-23	2																	
2020-01-24	2																	
2020-01-25	2																	
2020-01-26	2																	
2020-01-27	2																	
2020-01-28	2																	
2020-01-29	3																	
2020-01-30	3																	
2020-01-31	3																	
2020-02-01	4																	
2020-02-02	6																	
2020-02-03	7																	
2020-02-04	8																	
2020-02-05	8																	
2020-02-06	11																	
2020-02-07	12																	
2020-02-08	13																	
2020-02-09	13																	
2020-02-10	16																	
2020-02-11	17																	
2020-02-12	18																	
2020-02-13	18																	
2020-02-14	21																	
2020-02-15	28																	
2020-02-16	35																	
2020-02-17	50																	
2020-02-18	59																	
2020-02-19	69																	
2020-02-20	82																	
2020-02-21	93																	
2020-02-22	106																	
2020-02-23	122																	
2020-02-24	148																	
2020-02-25	179																	
2020-02-26	208				2													
2020-02-27	235				2													
2020-02-28	275				4													
2020-02-29	299				5													
2020-03-01	388				8													
2020-03-02	470				11													
2020-03-03	570				14													
2020-03-04	757	4			16		53						1					
2020-03-05	910	5			20		53						1					
2020-03-06	1051	6			26		60						1					
2020-03-07	1271	6			27		69						1					
2020-03-08	1538	6			31		88						1					
2020-03-09	1905	8			35		114						1					
2020-03-10	2346	8			37		133						2					
2020-03-11	2873	11			43		157						3					
2020-03-12	3555	16			51		202				4		9					
2020-03-13	4580	22			55		202				4		23					
2020-03-14	5495	26			64		252				5		23					
2020-03-15	6746	36			79		293				5		37					
2020-03-16	8315	42			100		335				6		56					
2020-03-17	11928	55			122		483				11		83					
2020-03-18	15099	67			153		611				13		121					
2020-03-19	19770	85			199		924				18		174					
2020-03-20	26025	108			267		1063				20		235				3	
2020-03-21	32910	2020			328		1279				24		315				4	
2020-03-22	42169	3023			471		1536				27		425				4	
2020-03-23	53611	3937			568		1733				27		466				5	
2020-03-24	64243	5117			799		2102				40		525				5	
2020-03-25	77116	7021	74		1031		2355				53		667				7	
2020-03-26	94772	9520	91		1342		3006				65		806				8	
2020-03-27	113816	12083	124		1743		3879				78		969				13	
2020-03-28	133540	14508	140		2262		4643				101		1134				13	
2020-03-29	153195	17283	156		2778		5708				123		1276				13	
2020-03-30	175092	19819	187		3355		6447				133		1422				14	
2020-03-31	199786	23725	236		4216		7482				153		1585	337			16	
2020-04-01	225559	27953	407	140	5204		8155				171		1821	398			24	
2020-04-02	253551	32128	456	140	6353		9191				203		2040	461			31	
2020-04-03	285496	36682	486	147	7612		10701				237		2263	487			37	
2020-04-04	318748	41768	554	147	9052		12026				276		2476	588			56	
2020-04-05	344298	45671	760	147	10337		13438				319		2643	624	175		68	
2020-04-06	373235	48617	814	147	11591		14336				343		2866	668	186		77	
2020-04-07	403972	51598	889	151	13547		15865				374		3064	745	200		92	
2020-04-08	434506	55909	1013	216	15491		16957				442		3279	790	218		99	
2020-04-09	468925	59832	924	39	17463		18309				492		3443	843	230		111	
2020-04-10	503276	64766	1185	41	19518		19472				541		3665	904	247		128	
2020-04-11	533837	67591	1405	154	21500		20615				609		3822	950	257		137	
2020-04-12	561681	70879	1455	160	23130		21794				651		3964	974	261		144	
2020-04-13	586814	75164	1628	210	24702		22348				687		4080	993	264		154	
2020-04-14	612445	78446	1715	221	26989		23338				758		4246	1049	283		170	
2020-04-15	642743	82880	1783	223	29475		24424				821		4453	1091	290		182	
2020-04-16	673666	85951	1834	137	31616		26182				890		4636	1121	299		197	
2020-04-17	705630	89356	2052	148	33693		27528				985		4839	1153	306		205	
2020-04-18	733593	92919	2096	205	35530		28963				1072		5013	1176	307		211	
2020-04-19	761061	95158	2145	214	37263		30333				1166		5176	1190	307		220	
2020-04-20	786933	97369	2193	214	39028		30978				1208		5353	1211	307		230	
2020-04-21	813266	100051	2315	214	41457		33261				1268		5509	1252	324		242	
2020-04-22	842182	103138	2370	227	43522		35396				1354		5766	1302	324		246	
2020-04-23	873966	105940	2428	227	45286		37369				1469		6011	1318	342		257	
2020-04-24	908140	108278	2468	227	47151		39254				1562		6364	1353	346		262	
2020-04-25	944041	110734	2516	227	48865		41137				1651		6715	1376	353		266	
2020-04-26	971421	112926	2571	227	50053		42164				1710		6963	1397	353		272	
2020-04-27	994026	116002	3720	195	51290		43464				1755		7161	1415	355		281	
2020-04-28	1019245	118081	3798	195	53332		45031				1809		7391	1456	363		300	
2020-04-29	1045886	121496	4093	365	56024		46500				1887		7660	1489	363		308	
2020-04-30	1075454	123786	4192	373	58141		48917				1982		8052	1512	382		316	
2020-05-01	1108510	133575	4300	376	59894		50442				2073		8550	1544	391		327	
2020-05-02	1137695	135606	4386	375	61435		52197				2171		8920	1591	400		334	
2020-05-03	1163462	137569	4502	425	62641		53616				2215		9227	1608	402		339	
2020-05-04	1185985	139220	4579	430	63653		54937				2254		9538	1621	404		340	
2020-05-05	1208434	141203	4794	439	66098		56212				2317		9896	1663	414		353	
2020-05-06	1233490	143322	4911	449	68030		58815				2412		10262	1694	423		362	
2020-05-07	1260980	147064	5174	529	70770		60614				2504		10621	1732	435		374	
2020-05-08	1288585	153956	6294	531	72549		62512				2585		11030	1767	441		384	
2020-05-09	1313395	155664	6367	543	73981		64561				2678		11402	1806	452		398	
2020-05-10	1334899	156719	6445	547	75005		66680				2745		11694	1820	456		400	
2020-05-11	1353135	157957	6488	551	75892		67939				2770		11920	1846	460		409	
2020-05-12	1375798	159536	5595	559	77364		69382				2847		12131	1877	464		418	
2020-05-13	1396991	161345	6713	572	79060		71141				2934		12449	1908	469		421	
2020-05-14	1423696	164551	6795	582	80931		73164				3032		12869	1939	478		434	
2020-05-15	1448406	165904	6890	589	82433		74936				3108		13344	1977	485		445	
2020-05-16	1473107	167760	6945	592	83417		76793				3204		13878	2018	488		453	
2020-05-17	1493278	168959	7003	593	84263		78839				3261		14257	2038	494		453	
2020-05-18	1514270	170116	7064	602	85107		80430				3302		14442	2068	496		459	
2020-05-19	1535123	171713	7217	606	86432		81795				3334		14692	2110	503		467	
2020-05-20	1556442	173709	7319	613	87824		84057				3436		15269	2161	515		481	
2020-05-21	1582955	178339	7412	616	89212		86197				3542		15792	2218	526		487	
2020-05-22	1607510	182385	7689	633	90547		88444				3630		16340	2259	535		496	
2020-05-23	1629100	183763	7770	638	91607		90631				3708		16843	2292	542		507	
2020-05-24	1649205	184684	7801	639	92285		92710				3774		17253	2315	541		510	
2020-05-25	1668003	185686	7847	642	92840		94558				3795		17571	2339	543		514	
2020-05-26	1684632	203006	7899	650	93480		96733				3814		17867	2362	544		517	
2020-05-27	1704017	204719	8015	666	94798		98980				3884		18513	2411	550		539	
2020-05-28	1726618	206349	8109	676	96024		101697				3973		19077	2452	556		550	
2020-05-29	1750140	208064	8235	689	97203		103886				4068		19843	2499	567		568	
2020-05-30	1773902	209488	8305	698	98132		106878				4156		20382	2563	577		588	
2020-05-31	1795541	210464	8445	704	98781		110583				4213		20564	2583	585		592	
2020-06-01	1815956	213260	8485	704	99446		113006				4251		20736	2603	586		595	
2020-06-02	1835938	214845	8566	710	100405		115310				4286		21155	2643	593		607	
